State,Abbreviation,City,crime_index,traffic_index,pollution_index,health_care_index,rent_index,property_price_to_income_ratio,safety_index,cpi_index,Code,lakes_count,parks_count,population,min_wage,quality_of_life
California,CA,Escondido,51.470588235294116,181.76467555480653,20.689655172413797,68.96913361825483,58.740170595033334,9.815354369891908,48.529411764705884,75.18379818903256,CA,6,112,144440,13.0,195.94
Indiana,IN,Hammond,29.132854122040975,83.3155357121936,27.58620689655172,56.25589225589225,44.89065440595023,5.496567984301816,70.86714587795902,86.13762499755316,IN,8,144,80718,7.25,302.8
Indiana,IN,Lawrence township,39.09020683388771,178.01583419256062,36.21725688566069,73.82052903759713,45.264842191287514,3.178385556656587,60.90979316611228,77.45414693712348,IN,3,57,118620,7.25,203.55
South Carolina,SC,Mount Pleasant town,37.56663271369154,112.58863479256577,20.900383141762447,60.64814814814815,54.0078180409449,5.6963285997736,62.43336728630845,74.78532761906732,SC,9,111,68509,7.25,265.99
Texas,TX,Pearland,57.3718641868512,146.94020084058945,27.93779604498084,77.93120720510426,56.98084990316393,1.34053068750102,42.62813581314879,73.43432210146179,TX,5,92,94063,7.25,199.25
Illinois,IL,Proviso township,61.9378892866294,131.3101195551193,36.98424784724317,69.26816003595825,38.50026662140606,2.6767762198942764,38.0621107133706,80.49774884210645,IL,4,98,151809,10.0,178.98
Georgia,GA,Sandy Springs,54.618886960992214,103.18481067554507,27.983281086729363,64.16666666666667,32.9584406124736,3.960371329003179,45.38111303900777,80.83950152541658,GA,8,135,94275,5.15,226.92
Colorado,CO,Westminster,100.0,130.26715796046653,30.022988505747133,86.1111111111111,36.11802968237021,4.880203968327233,0.0,72.0814260347,CO,1,124,106434,12.0,98.02
South Carolina,SC,Columbia,51.605329311211655,123.40483360455772,43.130777268708314,72.09104938271605,30.069603387272696,2.3058781723683017,48.394670688788345,61.837481736247895,SC,4,25,130774,7.25,179.14
Texas,TX,El Paso,31.48227817508795,130.93003687306123,45.847332743884465,68.88583638583638,22.66272446554815,2.3332421586118484,68.51772182491206,55.60581825249816,TX,4,105,650671,7.25,256.66
Idaho,ID,Meridian,37.20372308272531,107.77950527800577,29.157881134119094,82.2795414462081,36.428930644119696,5.399717957219722,62.79627691727468,64.01022362887011,ID,8,73,77428,7.25,252.73
Connecticut,CT,Norwalk,30.0,82.95774131977157,15.373563218390805,80.55555555555556,62.96469013823914,5.065868662678403,70.0,88.74519135363893,CT,5,144,85956,12.0,323.03
Kansas,KS,Olathe,26.568627450980397,95.74416611016113,9.688013136289001,86.94444444444444,34.161636407908496,2.2832330029673167,73.43137254901961,47.79956024175527,KS,1,149,126269,7.25,325.2
California,CA,Placentia,31.34472682460298,114.37287271755966,20.105554405718188,36.67328042328043,50.10210575426381,4.411157508782813,68.65527317539703,67.76023595304761,CA,8,62,50994,13.0,251.83
New Jersey,NJ,Irvington township,43.520969008282535,138.25654661119034,41.74882823767663,69.97555379688424,48.19265132222551,4.451998000015156,56.479030991717465,71.79619418912586,NJ,8,73,53833,11.0,212.06
Indiana,IN,Kokomo,44.70996732026144,66.95896642251658,13.448275862068966,73.6111111111111,22.251286143603078,1.5829264705882349,55.290032679738566,49.52497198841147,IN,4,68,58193,7.25,255.47
New Jersey,NJ,Plainfield,41.448801742919386,98.12486143315614,40.22988505747126,53.08641975308641,31.31360486950515,2.7681620533199376,58.55119825708061,86.95930373225245,NJ,1,61,49667,11.0,218.91
Massachusetts,MA,Quincy,35.29411764705883,170.25654449165017,82.87835249042145,87.03703703703704,55.89695069890629,3.001799427741478,64.70588235294117,76.29964647348227,MA,7,65,92457,12.75,197.47
Texas,TX,Tyler,31.25,129.31776379717155,37.643678160919535,62.96296296296296,25.637353199978534,2.18102295793124,68.75,68.679436950455,TX,0,120,97140,7.25,254.42
Tennessee,TN,Franklin,25.548177884092823,140.1915802222626,20.689655172413797,83.33333333333333,42.99765438377406,1.411609966077075,74.45182211590718,59.37849354651922,TN,7,131,62820,7.25,296.88
Utah,UT,Lehi,58.088235294117645,4.732050807568877,28.304597701149426,49.629629629629626,35.150582458735286,2.216099203440237,41.911764705882355,76.93404962415738,UT,8,58,48170,7.25,236.64
California,CA,Manteca,52.941176470588225,179.79995544314244,47.81995795844166,52.49061949017714,66.47602883091523,5.063961095685812,47.058823529411775,90.96100010769658,CA,9,36,67733,13.0,151.04
California,CA,Rancho Cordova,60.29411764705882,120.95744490653898,33.62068965517241,53.74847374847376,59.49155460538979,7.765603423295453,39.70588235294117,68.24847297054488,CA,1,134,65067,13.0,195.17
California,CA,Chico,61.764705882352935,109.59457271141041,33.24712643678161,69.44444444444444,32.15149606546706,3.8249795048145185,38.23529411764706,76.1490406940248,CA,3,84,86783,13.0,181.48
California,CA,Hawthorne,43.4436274509804,222.48820713560303,27.29885057471264,85.4563492063492,83.20046123260279,5.8037744205872315,56.55637254901961,70.3571894261539,CA,8,53,84295,13.0,191.76
